pmid,title,abstract,date,journal,publication_type,year
33177898,Increased Levels of Anxiety Among Medical and Non-Medical University Students During the COVID-19 Pandemic in the United Arab Emirates.,"The COVID-19 pandemic is likely to increase anxiety levels within the community and in particular medical students who are already considered psychologically vulnerable groups. Since the COVID-19 outbreak, no study has yet estimated the effect of this pandemic on university students in the UAE or its impact on the psychological well-being of medical students. We surveyed 1485 medical (comprising medical and dental) and non-medical university students across 4 emirates within the UAE. We used an online platform to assess knowledge, sources of information, changes in hygienic behavior, perceptions of fear and worry and anxiety levels using the generalized anxiety disorder 7 (GAD-7) scale. The GAD-7 score was measured at three time points: during hospital visits for medical/dental students, before the introduction of online learning and after online learning for all students. The majority of students demonstrated high levels of knowledge and utilized reliable sources of information. Non-medical students exercised higher compliance with social restrictions, while medical students practiced better hand hygiene. Almost half of students reported anxiety levels ranging from mild to severe with females reporting higher anxiety scores during hospital visits (OR=2.02, 95% CI, 1.41 to 2.91) and medical students reporting lower anxiety levels in comparison to dental students (OR=0.61, 95% CI, 0.45 to 0.84). Medical students reported higher levels of anxiety during their clinical rotations which decreased with the introduction of online learning, yet, non-medical students' anxiety levels increased with online learning. This study provides important information on the initial response and anxiety levels in university students across the UAE during the COVID-19 pandemic. The findings from our study can be used to support the development of effective screening strategies and interventions to build psychological resilience among university students during the COVID-19 pandemic or any other public health emergencies in the future.",2020,Risk management and healthcare policy,Journal Article,2020
33347341,Online and offline sexual harassment associations of anxiety and depression in an adolescent sample.,"The aims of this study were to study the prevalence of sexual harassment online and offline, to analyse the associations between subjection to sexual harassment and adolescents' mental health and analyse if there are any significant differences between girls and boys. We also examine if good peer-relationships interact with the associations between sexual harassment and mental health complaints. This cross-sectional study included 594 adolescents, age 12-20. Participants responded to a web survey including the self-assessment scales Revised Children´s Anxiety and Depression Scale and Beck Youth Inventories as well as subjection to online and offline sexual harassment and peer-relational quality. Linear regression analysis was used to study whether symptoms of anxiety and depression correlated to subjection to online and offline sexual harassment and peer-relational quality. We found that 48.50% of girls and 28.19% of boys reported sexual harassment victimization. Offline was the most frequently reported site of victimization. Online harassment correlated significantly with increased anxiety and depressive symptoms in girls but not boys. Offline harassment as well as online <i>and</i> offline harassment correlated significantly with increasing symptoms for both genders. Participants who reported good peer-relationships had significantly less symptoms. This study shows that sexual harassment remains a common plague for adolescents, especially for girls. Offline sexual harassment is the most common form of harassment for both genders. For girls, but not for boys, online sexual harassment correlated significantly with anxiety and depressive symptoms. A strong negative correlation between satisfaction to peer-relationships and mental health symptoms was found.",2021-Jul,Nordic journal of psychiatry,Journal Article,2021
33206826,The influence of text messages and anxiety on pain perception and its impact on orthodontic patients routine.,"This prospective study aimed at assessing the effects of anxiety and a follow-up text message on pain perception after the installation of fixed orthodontic appliances and its impact on the patients' routine. The sample of this study consisted of 103 orthodontic patients, 40 males and 63 females (mean age 20.5 years), distributed in two groups: G1 (n=51), including control patients that did not receive any post-procedure communication; and G2 (n=52), including patients that received a structured text message. In baseline phase, the patients completed a questionnaire to assess their level of anxiety prior to treatment. Pain was assessed by using 100-mm visual analog scale (VAS) in baseline and ten times prospectively in predetermined time points. VAS was also applied to assess the patient's routine alterations caused by the pain. All data were analyzed using ANOVA, Tukey, Mann-Whitney, t-test, chi-square and Spearman's correlation tests. All statistical tests were performed with significance level of 5%. Low-level and high-level anxiety was observed in 42.7% and 7.8% of the patients, respectively. Statistically significant correlation was observed between anxiety and pain (p< 0.05). Maximum mean pain intensity was detected in the second treatment day (G1=36.9mm and G2=26.2mm) and was significantly higher in G1. Nearly 53% of the patients in G1 reported alterations in the routine (18.8mm), while in G2 the percentage rate reached 28.8% (9.9mm) (p=0.013). Anxious patients report more pain after the installation of orthodontic appliances. Text messages were effective to reduce pain levels and to decrease the negative effects on patients' daily routine.",2020,Dental press journal of orthodontics,Journal Article,2020
33372071,Which psychotherapy is effective in panic disorder? And which delivery formats are supported by the evidence? Study protocol for two systematic reviews and network meta-analyses.,"Panic disorder is among the most prevalent anxiety diseases. Although psychotherapy is recommended as first-line treatment for panic disorder, little is known about the relative efficacy of different types of psychotherapies. Moreover, there is little evidence concerning the effectiveness of different formats of major psychotherapeutic types, such as cognitive-behavioural therapy (CBT). In this protocol, we present an overarching project consisting of two systematic reviews and network meta-analyses (NMA) to shed light on which psychotherapy (NMA-1), and specifically, which CBT delivery format (NMA-2) should be considered most effective for adults suffering from panic disorder with or without agoraphobia. Starting from a common pool of data, we will conduct two systematic reviews and NMA of randomised controlled trials examining panic disorder. A comprehensive search will be performed in electronic databases MEDLINE, Embase, PsycINFO and the Cochrane Register of Controlled Trials-CENTRAL from database inception to 1 January 2021 to identify relevant studies. A systematic approach to searching, screening, reviewing and data extraction will be applied. Titles, abstract and-whenever necessary-full texts will be examined independently by at least two reviewers. The quality of the included studies will be assessed using the revised Cochrane risk of bias tool V.2. The primary efficacy outcome will be anxiety symptoms at study endpoint. The primary acceptability outcome will be all-cause discontinuation, as measured by the proportion of patients who had discontinued treatment for any reason at endpoint. Data will be pooled using a random-effects model. Pairwise and NMA will be conducted. No ethical approval is necessary for these two studies, as there will be no collection of primary data. The results will be disseminated through peer-reviewed publications and presentations at national and international conferences and meetings.",2020-Dec-28,BMJ open,Journal Article,2020
33385953,Diagnostic utility of the Minnesota multiphasic personality inventory-2 in patients diagnosed with psychogenic non-epileptic seizures in the Czech Republic.,"The purpose of the present study is to examine the Minnesota Multiphasic Personality Inventory 2 (MMPI-2) scores of individuals diagnosed with psychogenic non-epileptic seizures (PNES) in a tertiary epilepsy center in the Czech Republic. Patients (F:M 130:45; mean age 36.8 years; 12.7 years of education, frequency of seizures 0.37 per day, illness duration 5.75 years) were assessed while inpatients at the Epilepsy Center, Na Homolce Hospital, Prague. Patients underwent video-EEG testing and comprehensive neuropsychological testing and personality assessment which included the MMPI-2. Elevated (+1.5SD) F and Back F (Fb) validity scales were observed along with elevated clinical scales Hypochondriasis (Hs), Depression (D), Hysteria (Hy), Psychasthenia (Pt), and Schizophrenia (Sc). Scores higher than 1 SD were found in Psychopathic Deviate (Pd), Paranoia (Pa), Hypomania (Ma) andSocial Introversion (Si) scales and on validity scales True Response Inconsistency Scale (TRIN) and Variable Response Inconsistency Scale (VRIN). Patients diagnosed with PNES exhibit numerous elevations on the MMPI-2. Understanding the underlying psychological constructs of the patient with PNES more accurately improves predictive utility (for the presence of PNES) and allows the clinician to offer interventions that are more customized. Minnesota Multiphasic Personality Inventory results may be useful to exclude other possible diagnoses and to further determine the individual's characteristics that may be helpful when tailoring treatment, including psychotherapy.",2021-Feb,Epilepsy & behavior : E&B,Journal Article,2021
33191575,Anticipatory Counseling About Miscarriage Management in Catholic Hospitals: A Qualitative Exploration of Women's Preferences.,"Catholic hospitals represent a large and growing segment of U.S. health care. Because these facilities follow doctrines that restrict reproductive health services, including miscarriage management options when a fetal heartbeat is present, it is critical to understand whether and how women would want to learn about miscarriage treatment restrictions from providers. From May 2018 to January 2019, semistructured interviews were conducted with 31 women aged 21-44 who had had exposure to religious-based health care; all were drawn from a nationally representative survey sample. Participants responded to a hypothetical scenario regarding the anticipatory disclosure of miscarriage management policy during routine prenatal care. Responses were inductively coded and thematically analyzed using modified grounded theory to understand women's attitudes and considerations related to receiving anticipatory miscarriage management information. Respondents supported the routine disclosure of miscarriage management policies during prenatal care. Some expressed concern that this might increase patient anxiety during pregnancy, but most felt that the information would serve to prepare and empower patients, and likened the topic to other anticipatory health information provided during prenatal care. Identified themes related to how providers can disclose this information (including the need for a precautionary framing to reduce patient stress), sharing the rationale for institutional policy, and the importance of provider neutrality to ensure patient autonomy. To respect patient autonomy, health care providers working in Catholic hospitals should routinely discuss institutional miscarriage management policies with patients, and anticipatory counseling should give patients the balanced information they need to decide where to go for care should pregnancy complications arise.",2020-Sep,Perspectives on sexual and reproductive health,Journal Article,2020
33143700,"Depression and cardiovascular risk-association among Beck Depression Inventory, PCSK9 levels and insulin resistance.","Depression and cardiovascular disease (CVD) are among the most common causes of disability in high-income countries, depression being associated with a 30% increased risk of future CV events. Depression is twice as common in people with diabetes and is associated with a 60% rise in the incidence of type 2 diabetes, an independent CVD risk factor. Proprotein convertase subtilisin/kexin type 9 (PCSK9), a key regulator of low-density lipoprotein cholesterol, has been related to a large number of CV risk factors, including insulin resistance. Aim of this study was to investigate whether the presence of depression could affect PCSK9 levels in a population of obese subjects susceptible to depressive symptoms and how these changes may mediate a pre-diabetic risk. In 389 obese individuals, the Beck Depression Inventory (BDI-II) was significantly associated with PCSK9 levels. For every one-unit increment in BDI-II score, PCSK9 rose by 1.85 ng/mL. Depression was associated also with the HOMA-IR (homeostatic model assessment index of insulin resistance), 11% of this effect operating indirectly via PCSK9. This study indicates a possible mechanism linking depression and insulin resistance, a well-known CV risk factor, providing evidence for a significant role of PCSK9.",2020-Nov-03,Cardiovascular diabetology,Journal Article,2020
33240593,Freeze-like responses to pain in humans and its modulation by social context.,"Maladaptive defensive responses such as excessive avoidance behavior have received increasing attention as a main mechanism for the development and maintenance of chronic pain complaints. However, another defensive response which is commonly studied in animals as a proxy for fear is freezing behavior. No research to date has investigated human freezing behavior in the context of pain. In addition, there is an increasing realization that social context can affect pain-relevant processes such as pain experience and pain behavior but less is known about the effects of social context on defensive responses to pain. Hence, this study investigated freezing behavior and facial pain expression in the context of pain, and their modulation by social context. Healthy, pain-free participants (<i>N</i> = 39) stood on a stabilometric force platform in a threatening or safe social context, which was manipulated using angry or happy facial stimuli. In some trials, an auditory cue (conditioned stimulus; CS) predicted the occurrence of painful electrocutaneous stimulus (unconditioned stimulus; pain-US). We assessed body sway (an index of freezing), heart rate, facial pain expression, self-reported pain intensity, unpleasantness, and pain-US expectancy during the CS and the context alone (no CS). The results were mixed. Neither the anticipation of pain, nor social context affected body sway. Heart rate and painful facial expression were reduced in the threatening social context at high anxiety levels. A threatening social context also elicited higher pain-US expectancy ratings. In sum, a threatening social context increases the expectation of pain, but reduces the facial expression of pain and lowers heart rate in highly anxious individuals.",2020,PeerJ,Journal Article,2020
33418377,Longitudinal course of depressive symptom severity among youths with bipolar disorders: Moderating influences of sustained attention and history of child maltreatment.,"Pediatric bipolar disorders are often characterized by disruptions in cognitive functioning, and exposure to child maltreatment (e.g., physical and sexual abuse) is associated with a significantly poorer course of illness. Although clinical and developmental research has shown maltreatment to be robustly associated with poorer cognitive functioning, it is unclear whether maltreatment and cognitive function jointly influence the clinical course of bipolar symptoms. This secondary analysis examined moderating effects of lifetime childhood physical and sexual abuse, and cognitive disruptions (sustained attention, affective information processing), on longitudinal ratings of depression symptom severity in youths from the Course and Outcome of Bipolar Youth (COBY) study, examined from intake (M = 12.24 years) through age 22 (N = 198; 43.9% female; Mean age of bipolar onset = 8.85 years). A significant moderating effect was detected for sustained attention and maltreatment history. In the context of lower sustained attention, maltreatment exposure was associated with higher depression symptom severity during childhood, but not late adolescence. There was no association between maltreatment and symptom severity in the context of higher sustained attention, and no association between attention and depression symptom severity for non-maltreated youths. Depression symptom ratings at each assessment were subject to retrospective recall bias despite the longitudinal design. Cognitive assessments were administered at different ages across youths. Depressive symptoms in pediatric bipolar may be jointly moderated by impairments in attention and exposure to maltreatment. Assessment of these risks, particularly in childhood, may be beneficial for considering risk of recurrence or chronicity of depressive symptoms.",2021-Mar-01,Journal of affective disorders,Journal Article,2021
33269332,A Stepped Care Model of Patient Navigation to Enhance Engagement with Perinatal Mental Health Care.,"During the perinatal period, women are at increased risk for developing perinatal mood and anxiety disorders (PMADs). As perinatal mental health screening efforts increase, significantly more women will be identified who require mental health services. Evidence-based treatments exist, yet many women do not receive adequate care. Patient navigation (PN) offers a promising patient-centered approach to improve treatment attendance and engagement. The purpose of this study is to describe the development of a stepped care PN service at an intensive outpatient program for women with PMADs. Our experience incorporating this model of PN revealed significant features that may guide other treatment care facilities to adopt this service to increase identification and connection to care.",2020,Health equity,Journal Article,2020
33240116,I Cannot Read Your Eye Expression: Suicide Attempters Have Difficulties in Interpreting Complex Social Emotions.,"<b>Background:</b> The ability to differentiate emotions in social contexts is important for dealing with challenging social situations. Suicide attempters show some difficulties in emotion recognition that may result in hypersensitivity to social stress. However, other studies on the recognition of social complex emotions found that suicide attempters have similar performances as depressed non-attempters. <b>Objectives:</b> To investigate differences in social emotion recognition in patients with current Major Depressive Episode (MDE) with and without history of suicide attempt. <b>Methods:</b> Two hundred and ten patients with MDE were recruited among whom 115 had lifetime history of suicide attempt (suicide attempters, SA) and 95 did not (affective controls, AC). Recognition of complex social emotions was assessed using the Reading the Mind in the Eyes Test (RMET). Emotions were separated in three valence categories: positive, negative, and neutral. Verbal intelligence quotient (IQ) and attention were measured with the National Adult Reading Task (NART) and the d2 test, respectively. <b>Results:</b> Mixed logistic regression models adjusted for sex, lifetime bipolar disorder, verbal IQ and attention showed that the RMET performance for neutral emotions was worse in the SA than AC group (OR = 0.87 [0.75, 0.99]). Furthermore, when violent/serious SA were compared to non-violent/non-serious SA and AC, the RMET neutral valence category showed a trend for group factor (<i>p</i> < 0.059) and RMET scores were lower in the violent/serious SA than AC group (OR = 0.79 [0.64, 0.96]). <b>Conclusion:</b> Recognition of neutral emotions is poor in SA and this may complicate their daily life. Interventions to improve the understanding of complex emotions may be helpful to prevent suicidal risk in patients with depression.",2020,Frontiers in psychiatry,Journal Article,2020
33197840,Systematic review and meta-analysis of the role of personality disorder in randomised controlled trials of pharmacological interventions for adults with mood disorders.,"Personality disorder (PD) may affect the efficacy of pharmacological interventions for mood disorders, but the extent to which this occurs is uncertain. We aimed to examine the available published evidence concerning the role of PD in pharmacological treatment outcomes of randomised controlled trials (RCTs) for adults with mood disorders (i.e. depressive and bipolar spectrum disorders). A systematic search of Cochrane Central Register of Controlled Clinical Trials, PubMed, EMBASE, PsycINFO, CINAHL Complete, and Google Scholar databases was undertaken to identify studies of interest. Data were independently extracted by two reviewers. The Cochrane Risk of Bias tool was used to assess methodological quality and risk of bias. A random effects model was utilised and statistical heterogeneity was assessed using the I<sup>2</sup> statistic. This systematic review was registered with PROSPERO (CRD42018089279) and the protocol is published. The search yielded 11,640 studies. Subsequent to removing duplicates, 9657 studies were screened at title and abstract stage and 1456 were assessed at full-text stage. Eighteen studies met criteria for inclusion in this review. Meta-analysis did not reveal a significant difference between groups for treatment outcome (standardised mean difference 0.22 [-0.09, 0.54]; I<sup>2</sup>: 69%, p=0.17) and remission (risk ratio 0.84 [0.64, 1.11]; I<sup>2</sup>: 51%, p=0.22). This review was limited by lack of studies on bipolar disorder. PD comorbidity does not appear to affect treatment efficacy of pharmacological interventions for adults with mood disorders.",2021-Jan-15,Journal of affective disorders,Journal Article,2021
33187116,Long-Term Effects of a Cognitive Behavioral Conference Call Intervention on Depression in Non-Professional Caregivers.,"Recent evidence supports the efficacy of conference call cognitive-behavioral interventions in preventing depression in caregivers at post-intervention, but we do not know whether the results are sustained long term. The main objective of this study was to evaluate the long-term efficacy of a cognitive-behavioral intervention administered by telephone conference call in preventing depression in caregivers with elevated depressive symptoms, comparing all components of the intervention versus only the behavioral ones. A randomized controlled trial was conducted using a dismantling strategy. At total of 219 caregivers were randomly assigned to a cognitive-behavioral conference call intervention (CBCC; <i>n</i> = 69), a behavioral-activation conference call intervention (BACC; <i>n</i> = 70), or a usual care control group (CG, <i>n</i> = 80). Information was collected on depressive symptoms and depression at pre-intervention and at 1, 3, 6, 12, and 36 months post-intervention. At 36 months, there was a reduction in depressive symptoms (<i>p</i> < 0.001) and a lower incidence of major depressive episodes in both the CBCC and BACC groups compared to CG (8.7%, 8.6%, and 33.7%, respectively). The results show that a conference call intervention was effective in the long term to prevent depression in caregivers and that the behavioral-activation component was comparable to the complete cognitive-behavioral protocol.",2020-Nov-11,International journal of environmental research and public health,Journal Article,2020
32976048,A theoretical model of financial burden after cancer diagnosis.,"Current models of financial burden after cancer do not adequately define types of financial burden, moderators or causes. We propose a new theoretical model to address these gaps. This model delineates the components of financial burden as material and psychological as well as healthcare-specific (affording treatment) versus general (affording necessities). Psychological financial burden is further divided into worry about future costs and rumination about past and current financial burden. The model hypothesizes costs and employment changes as causes, and moderators include precancer socioeconomic status and post-diagnosis factors. The model outlines outcomes affected by financial burden, including depression and mortality. Theoretically derived measures of financial burden, interventions and policy changes to address the causes of financial burden in cancer are needed.",2020-Dec,"Future oncology (London, England)",Journal Article,2020
33153220,"Mental Fatigue, But Not other Fatigue Characteristics, as a Candidate Feature of Obsessive Compulsive Personality Disorder in Patients with Anxiety and Mood Disorders-An Exploratory Study.","Obsessive compulsive personality disorder (OCPD) is commonly associated with anxiety and mood disorders (AMDs), in which fatigue and executive dysfunction represent key symptoms. Executive dysfunction has also been demonstrated in subjects with OCPD, and is additionally found to be a cardinal feature of fatigue. This study aimed to investigate the associations between fatigue, executive dysfunction, and OCPD in patients with AMDs. In this cross-sectional study, 85 AMD patients (78% females, mean age 39 ± 11 years) were evaluated for OCPD traits by using the observer-rated Compulsive Personality Assessment Scale. The Multidimensional Fatigue Inventory-20 was used to measure different aspects of fatigue, and the Trail Making Test was employed to assess executive functioning. The Hamilton rating scales were used to evaluate anxiety and depression symptoms. Controlling for potential confounders, there was a significant link between OCPD and mental fatigue (OR, 1.27; 95% CI, 1.02 to 1.58; <i>p</i> = 0.033). No associations were found between the presence of OCPD and other relevant fatigue characteristics, including general fatigue, physical fatigue, reduced activity, and reduced motivation, as well as executive functions. To the best of our knowledge, this study is the first to report associations between OCPD and mental fatigue in patients with AMDs, suggesting mental fatigue as a clinically important symptom when considering particular personality pathologies.",2020-Nov-03,International journal of environmental research and public health,Journal Article,2020
